region,amplitude_A,frequency_THz,is_baseline,analysis_stage,frame_count,mean_dislocation_density_A-2,delta_dislocation_density_A-2_vib_minus_base,reduction_dislocation_density_A-2_percent,mean_segment_number_density_A-3,delta_segment_number_density_A-3_vib_minus_base,reduction_segment_number_density_A-3_percent,mean_shockley_density_A-2,delta_shockley_density_A-2_vib_minus_base,reduction_shockley_density_A-2_percent,mean_perfect_density_A-2,delta_perfect_density_A-2_vib_minus_base,reduction_perfect_density_A-2_percent,mean_stair_rod_density_A-2,delta_stair_rod_density_A-2_vib_minus_base,reduction_stair_rod_density_A-2_percent,mean_hirth_density_A-2,delta_hirth_density_A-2_vib_minus_base,reduction_hirth_density_A-2_percent,mean_frank_density_A-2,delta_frank_density_A-2_vib_minus_base,reduction_frank_density_A-2_percent,mean_other_density_A-2,delta_other_density_A-2_vib_minus_base,reduction_other_density_A-2_percent,mean_hcp_fraction,delta_hcp_fraction_vib_minus_base,reduction_hcp_fraction_percent,mean_other_atom_fraction,delta_other_atom_fraction_vib_minus_base,reduction_other_atom_fraction_percent
elastic,0.3,1.2,0,after_removal,13,0.0023358422880193144,0.0023358422880193144,nan,0.00018808611421443475,0.00018808611421443475,nan,0.0019883019331944462,0.0019883019331944462,nan,3.671445015081263e-05,3.671445015081263e-05,nan,0.00019175260190025105,0.00019175260190025105,nan,6.712896320698268e-05,6.712896320698268e-05,nan,0.0,0.0,nan,5.1944339566822044e-05,5.1944339566822044e-05,nan,0.02385754985754986,0.02385754985754986,nan,0.20395441595441594,0.20395441595441594,nan
elastic,0.3,1.2,0,before,11,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan
elastic,0.3,1.2,0,during_vibration,91,4.4175163413204365e-05,4.4175163413204365e-05,nan,6.509607782090157e-06,6.509607782090157e-06,nan,2.4340939029174633e-05,2.4340939029174633e-05,nan,1.939410324333438e-05,1.939410324333438e-05,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,4.401211406953464e-07,4.401211406953464e-07,nan,8.872608872608872e-05,8.872608872608872e-05,nan,0.1501115181115181,0.1501115181115181,nan
elastic,0.3,1.5,0,after_removal,13,0.0018575438116806425,0.0018575438116806425,nan,0.0001459121659240847,0.0001459121659240847,nan,0.0015771962012571849,0.0015771962012571849,nan,6.740940928910034e-05,6.740940928910034e-05,nan,0.0001646710451650157,0.0001646710451650157,nan,1.6176764288893034e-05,1.6176764288893034e-05,nan,0.0,0.0,nan,3.209039168044867e-05,3.209039168044867e-05,nan,0.018056980056980056,0.018056980056980056,nan,0.18677492877492877,0.18677492877492877,nan
elastic,0.3,1.5,0,before,11,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan
elastic,0.3,1.5,0,during_vibration,91,3.498865346764501e-05,3.498865346764501e-05,nan,4.085817650460844e-06,4.085817650460844e-06,nan,3.498865346764501e-05,3.498865346764501e-05,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,7.081807081807082e-05,7.081807081807082e-05,nan,0.1486707366707367,0.1486707366707367,nan
elastic,0.4,0.5,0,after_removal,13,0.0014273905820519745,0.0014273905820519745,nan,0.00012409805473942087,0.00012409805473942087,nan,0.0012860851123819494,0.0012860851123819494,nan,1.215894664986361e-05,1.215894664986361e-05,nan,8.761113108996679e-05,8.761113108996679e-05,nan,3.168018193919432e-06,3.168018193919432e-06,nan,0.0,0.0,nan,3.8367373736275245e-05,3.8367373736275245e-05,nan,0.009202279202279203,0.009202279202279203,nan,0.2059202279202279,0.2059202279202279,nan
elastic,0.4,0.5,0,before,11,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan
elastic,0.4,0.5,0,during_vibration,91,4.509676885300464e-06,4.509676885300464e-06,nan,5.540091729438431e-07,5.540091729438431e-07,nan,3.707244465970492e-06,3.707244465970492e-06,nan,8.024324193299721e-07,8.024324193299721e-07,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,6.267806267806268e-05,6.267806267806268e-05,nan,0.21207977207977208,0.21207977207977208,nan
elastic,0.4,0.8,0,after_removal,13,0.0011770454979566894,0.0011770454979566894,nan,9.549733118619496e-05,9.549733118619496e-05,nan,0.0010156220479682122,0.0010156220479682122,nan,3.77334979499532e-05,3.77334979499532e-05,nan,8.666007796937493e-05,8.666007796937493e-05,nan,1.5030020615095075e-05,1.5030020615095075e-05,nan,0.0,0.0,nan,2.1999853454053784e-05,2.1999853454053784e-05,nan,0.0053561253561253555,0.0053561253561253555,nan,0.16739601139601137,0.16739601139601137,nan
elastic,0.4,0.8,0,before,11,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan
elastic,0.4,0.8,0,during_vibration,91,6.0807380796179984e-06,6.0807380796179984e-06,nan,9.002649060337451e-07,9.002649060337451e-07,nan,3.594242591543923e-06,3.594242591543923e-06,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,2.4864954880740764e-06,2.4864954880740764e-06,nan,7.488807488807489e-05,7.488807488807489e-05,nan,0.17445014245014245,0.17445014245014245,nan
elastic,0.4,1.0,0,after_removal,13,0.0016728702581265671,0.0016728702581265671,nan,0.00015948539066120885,0.00015948539066120885,nan,0.0014450673476458496,0.0014450673476458496,nan,1.1361080406023387e-05,1.1361080406023387e-05,nan,0.00013679683921687292,0.00013679683921687292,nan,1.6062275092084084e-05,1.6062275092084084e-05,nan,2.0471248474270595e-06,2.0471248474270595e-06,nan,6.153559091831008e-05,6.153559091831008e-05,nan,0.008974358974358974,0.008974358974358974,nan,0.19545299145299147,0.19545299145299147,nan
